video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"HHCHVTlOcrs","İstiklal Caddesi saldırganının kimliği belirlendi ve ilk ifadesi ortaya çıktı!","2022-11-14T08:51:39Z","UCV6zcRug6Hqp1UX_FdyUeBg","CNN TÜRK","25","22.15.11","1074114","0","3439"
"t0fY86x_Xl8","Taksim İstiklal Caddesi'ne bomba bırakan kadının kaçış anı!","2022-11-14T06:49:26Z","UCGgVyu1fB_NblkfsYR-eEjg","Sabah","25","22.15.11","374812","0","302"
"hvv36dPOKP0","Kızılcık Şerbeti 3. Bölüm","2022-11-11T21:00:25Z","UCRfLDCtkSwmTdwHrbmC78Xg","Kızılcık Şerbeti","24","22.15.11","2206198","0","3896"
"tSce91urHE8","İŞTE TAKSİM'İ KANA BULAYAN KADIN BOMBACI! YAKALANMA ANI KAMERADA","2022-11-14T08:24:07Z","UC1uz19Qdhs5LP7UAWpJRgrQ","internethaber","25","22.15.11","542199","0","740"
"Fyvo9ED9ne0","Yalı Çapkını 8. Bölüm","2022-11-11T21:14:05Z","UCyahIZNtNmqK1LeNF0KlFZw","Yalı Çapkını","24","22.15.11","11383782","0","8676"
"wJg397DAGO4","İstiklal Caddesi'ne bombayı bırakan kadın terörist böyle yakalandı","2022-11-14T07:37:19Z","UCV6zcRug6Hqp1UX_FdyUeBg","CNN TÜRK","25","22.15.11","813127","0","1902"
"i9gT9k4xWow","İstiklal Caddesi'ndeki bombalı saldırının detayları... Terörist ifadesinde ne dedi?","2022-11-14T13:35:37Z","UCV6zcRug6Hqp1UX_FdyUeBg","CNN TÜRK","25","22.15.11","676501","0","1445"
"HW2aGugl6R8","Saldırganın Asıl Hedefi Neresiydi? Canlı Yayında Anlattı!","2022-11-14T17:56:04Z","UCi65FGbYYj-OzJm2luB_fNQ","ÜLKE TV","25","22.15.11","459201","0","1022"
"FzmxAJShZx0","100.000 TL FİRST CLASS UÇAK BİLETİ 2","2022-11-12T15:00:06Z","UCG0HA4uyuuzPzeq_US_ywVg","Enes Batur","24","22.15.11","1509082","0","7049"
"88u1HDcM5o0","Güzel Günler 2. Bölüm","2022-11-13T21:00:08Z","UCBq6tAuxXBbEGl-r8WMA-Lg","Güzel Günler","24","22.15.11","723582","0","621"
"qxwsZgyB5EM","Saklandığı evde kıskıvrak gözaltına alındı!","2022-11-14T16:04:10Z","UC7DDcxd92wR0LzlMKIcHDAA","Show Ana Haber","25","22.15.11","217180","0","878"
"d_LjX1BoSLg","TOFAŞTAN UÇAN ARABA YAPTIK @PUBG MOBILE Espor Türkiye","2022-11-12T12:00:11Z","UCnmpbMhbYd2P8OgFeGyqqSA","Mami Emen","24","22.15.11","862698","0","23131"
"LTVtox3lUFA","SON DAKİKA - Taksim - İstiklal Caddesi'nde Patlama Oldu!","2022-11-13T14:20:42Z","UCtc-a9ZUIg0_5HpsPxEO7Qg","Haber Global","25","22.15.11","1238691","0","2259"
"v-jrFbVE_zA","Taksim'i kana bulayan terörist yakalandı! - atv Haber 14 Kasım 2022","2022-11-14T12:22:34Z","UCdggatDzQjGWnqY1WvqgtXA","atv Haber","25","22.15.11","173897","0","320"
"K8D79X0Jn9c","Müge Anlı ile Tatlı Sert | 14 Kasım 2022 Pazartesi","2022-11-14T11:53:53Z","UC0XZpoAPTm_1UJvFQiVg_hg","Müge Anlı ile Tatlı Sert","24","22.15.11","1106030","0","46"
"Job1V2H8mXo","Taksim'deki bombalı saldırıyı gerçekleştiren terörist böyle yakalandı","2022-11-14T07:24:32Z","UCBgTP2LOFVPmq15W-RH-WXA","TRT Haber","25","22.15.11","412090","0","1413"
"e2nEYpmPkaE","YÜRÜYEN MERDİVENDEN SON İNEN KAZANIR !? @Sıla Dündar @Mert Eren @Feride Özdinç","2022-11-11T16:00:34Z","UCElVbb5m1oI0-Mijb8ij0sw","Ahmet Can Dündar","24","22.15.11","1113205","0","5371"
"6zLnlEQG0D8","İSTİKLAL SALDIRISININ ŞİFRELERİ VE SONUÇLARI NE?","2022-11-14T10:05:43Z","UCkwHQ7DWv9aqEtvAOSO74dQ","Cüneyt Özdemir","25","22.15.11","225488","0","357"
"b4GR8_g3OEU","ALİ SUNAL SORDU BEN YANITLADIM","2022-11-13T06:07:49Z","UCT0byua4qIz2wtrmnXoPK6w","Ekrem İmamoğlu","25","22.15.11","364745","0","875"
"f9YwbgxNEu0","Kızılcık Şerbeti 4. Bölüm 2. Fragmanı | En azından birisi beni takdir ediyor!","2022-11-14T18:56:00Z","UCRfLDCtkSwmTdwHrbmC78Xg","Kızılcık Şerbeti","24","22.15.11","601328","0","521"
"P4PJJD41g20","Dad Pranking Children’s 🥹🤣","2022-11-12T13:42:49Z","UCNRl8nOCoUvki2FNFxQZgEg","dednahype","23","22.15.11","12442155","0","216"
"aqW4xXUgmno","[CHOREOGRAPHY] BTS (방탄소년단) '달려라 방탄 (Run BTS)' Dance Practice","2022-11-13T10:00:02Z","UCLkAepWjdylmXSltofFvsYQ","BANGTANTV","10","22.15.11","12681197","0","82923"
"x9ozL6ts02k","Erman Toroğlu YENİLMEZ ARMADA GALATASARAY'I Öve Öve Bitiremedi! (Başakşehir 0-7 Galatasaray)","2022-11-12T19:37:15Z","UC-uNDqkestIRRNuE8QhROqw","Galatasaray Haberleri","17","22.15.11","300503","0","334"
"cJknr8m9IFk","Bu Bir Mesaj | Yakalanan Taksim Saldırganının Kıyafeti Dikkat Çekti!","2022-11-14T08:00:15Z","UCtc-a9ZUIg0_5HpsPxEO7Qg","Haber Global","25","22.15.11","616570","0","1103"
"6NZhWzmEkKE","TAKSİM FAİLLERİ YAKALANDI! HESAPLAŞMA NASIL OLACAK?","2022-11-14T12:52:21Z","UC6VKNvOHFbjj41jiSQ5wfAw","Abdurrahman Uzun","25","22.15.11","140165","0","1749"
"t-9xKqkW8A4","Sakiler - Yalanı Bırak (Official Video)","2022-11-11T12:00:10Z","UCD9aayaoRKSzV8QtUvq8ehw","Sakiler Müzik","10","22.15.11","1068923","0","1687"
"heC2bCFY8Rc","Witty son fights for internetlTikTok Creative Humor Video lFunny Video Long Mom#Shorts","2022-10-21T10:00:36Z","UCobCsXaWsPawN22tXWH0cbw","GuiGe","24","22.15.11","21930925","0","450"
"1wyfIGN49Qg","Süleyman Soylu'dan ABD'ye Taksim Tepkisi: Taziye Mesajınızı Kabul Etmiyoruz! - TGRT Haber","2022-11-14T08:52:51Z","UCzgrZ-CndOoylh2_e72nSBQ","TGRT Haber TV","25","22.15.11","211164","0","1133"
"eE0TD1Asro0","Kardeşime Yeni Araba Aldım! - Vlog","2022-11-12T16:30:05Z","UCnPUB-DTfgIO-p-xOPhV9jw","Mendebur Lemur","24","22.15.11","543375","0","2171"
"Vn9LKsa28oM","Kıyma | 2. Sezon Finali | Fragman","2022-11-12T16:01:35Z","UCgwVmujVzvH8jjCf2e1-W7g","blutv","1","22.15.11","137432","0","191"
"bjG-QpbkvAA","Hasanmucci küp şeker ve bulaşık sabunundan slime yapma deneyi #shorts","2022-11-08T20:01:25Z","UCIfaKPaqVG8qSCjfmkvHeiQ","Hasanmucci","22","22.15.11","2896334","0","1053"
"fxk59RG-N-8","Yalı Çapkını 9. Bölüm 1. Fragmanı | Ben Senin İçin Neyim?","2022-11-11T21:12:02Z","UCyahIZNtNmqK1LeNF0KlFZw","Yalı Çapkını","24","22.15.11","6563232","0","3587"
"u1n47F3RyvE","Beyoğlu İstiklal Caddesi'nde patlama meydana geldi","2022-11-13T13:47:28Z","UCZslGytOwaEEZPkiE4X47FA","تلفزيون أورينت Orient TV","25","22.15.11","214599","0","244"
"juI7LQilLAE","Şaban Sahalara Geri Dönüyor! #shorts","2022-11-14T13:00:26Z","UCE1XdVHzOdMnUsUMatIzjag","Kemal Sunal Filmleri","24","22.15.11","86639","0","10"
"D488ox-3u_A","@NTV  Bombalı saldırıyı gerçekleştiren teröristin yakalanma anı","2022-11-14T08:03:56Z","UC9TDTjbOjFB9jADmPhSAPsw","NTV","25","22.15.11","79955","0","110"
"rQTTNHlzdCc","İstiklal Caddesi'nde bombalı saldırı: Bu korkuyu daha önce de yaşadık biz","2022-11-13T21:15:39Z","UCeMQiXmFNTtN3OHlNJxnnUw","BBC News Türkçe","25","22.15.11","85152","0","101"
