video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"x9ozL6ts02k","Erman Toroğlu YENİLMEZ ARMADA GALATASARAY'I Öve Öve Bitiremedi! (Başakşehir 0-7 Galatasaray)","2022-11-12T19:37:15Z","UC-uNDqkestIRRNuE8QhROqw","Galatasaray Haberleri","17","22.15.11","306909","0","335"
"6NZhWzmEkKE","TAKSİM FAİLLERİ YAKALANDI! HESAPLAŞMA NASIL OLACAK?","2022-11-14T12:52:21Z","UC6VKNvOHFbjj41jiSQ5wfAw","Abdurrahman Uzun","25","22.15.11","149304","0","1885"
"juI7LQilLAE","Şaban Sahalara Geri Dönüyor! #shorts","2022-11-14T13:00:26Z","UCE1XdVHzOdMnUsUMatIzjag","Kemal Sunal Filmleri","24","22.15.11","109355","0","14"
"bjG-QpbkvAA","Hasanmucci küp şeker ve bulaşık sabunundan slime yapma deneyi #shorts","2022-11-08T20:01:25Z","UCIfaKPaqVG8qSCjfmkvHeiQ","Hasanmucci","22","22.15.11","3229036","0","1173"
"eE0TD1Asro0","Kardeşime Yeni Araba Aldım! - Vlog","2022-11-12T16:30:05Z","UCnPUB-DTfgIO-p-xOPhV9jw","Mendebur Lemur","24","22.15.11","596517","0","2292"
"Vn9LKsa28oM","Kıyma | 2. Sezon Finali | Fragman","2022-11-12T16:01:35Z","UCgwVmujVzvH8jjCf2e1-W7g","blutv","1","22.15.11","145801","0","225"
"1wyfIGN49Qg","Süleyman Soylu'dan ABD'ye Taksim Tepkisi: Taziye Mesajınızı Kabul Etmiyoruz! - TGRT Haber","2022-11-14T08:52:51Z","UCzgrZ-CndOoylh2_e72nSBQ","TGRT Haber TV","25","22.15.11","218613","0","1146"
"fxk59RG-N-8","Yalı Çapkını 9. Bölüm 1. Fragmanı | Ben Senin İçin Neyim?","2022-11-11T21:12:02Z","UCyahIZNtNmqK1LeNF0KlFZw","Yalı Çapkını","24","22.15.11","6685617","0","3637"
"u1n47F3RyvE","Beyoğlu İstiklal Caddesi'nde patlama meydana geldi","2022-11-13T13:47:28Z","UCZslGytOwaEEZPkiE4X47FA","تلفزيون أورينت Orient TV","25","22.15.11","220227","0","246"
"cJknr8m9IFk","Bu Bir Mesaj | Yakalanan Taksim Saldırganının Kıyafeti Dikkat Çekti!","2022-11-14T08:00:15Z","UCtc-a9ZUIg0_5HpsPxEO7Qg","Haber Global","25","22.15.11","629576","0","1114"
"D488ox-3u_A","@NTV  Bombalı saldırıyı gerçekleştiren teröristin yakalanma anı","2022-11-14T08:03:56Z","UC9TDTjbOjFB9jADmPhSAPsw","NTV","25","22.15.11","88089","0","125"
"De5jdGmK7Is","Kuruluş Osman 103. Bölüm @atv","2022-11-09T20:59:07Z","UCGR1XmkoQedeJMT2ajRHvsw","Kuruluş Osman","24","22.15.11","4961996","0","1799"
"rQTTNHlzdCc","İstiklal Caddesi'nde bombalı saldırı: Bu korkuyu daha önce de yaşadık biz","2022-11-13T21:15:39Z","UCeMQiXmFNTtN3OHlNJxnnUw","BBC News Türkçe","25","22.15.11","91786","0","117"
"ovDp2-MesrU","Kardeşlerim 67. Bölüm @atv","2022-11-12T20:56:54Z","UCZLOnq-F5zhTWNUDjcEYByw","KARDEŞLERİM","24","22.15.11","3883986","0","3667"
"b3ftD8y_ieo","PRO FUTBOLCU VS YOUTUBER (Belhanda)","2022-11-12T12:00:19Z","UCxwMixOGCeONIfcuIfT02sw","Nevzat Özkur","17","22.15.11","372729","0","562"
"PCgBtRfy5ao","TAKSİM SALDIRISINDAN ÖNEMLİ AYRINTILAR,BOMBACININ BİLİNMEYENLERİ...","2022-11-15T10:11:49Z","UCkwHQ7DWv9aqEtvAOSO74dQ","Cüneyt Özdemir","25","22.15.11","117499","0","168"
"CDdwQF6qEYQ","İki Kafa, Bir Vücut, CinseI OrganIarı Bile Ortak.. (Sohna ve Mohna’nın İnanılmaz Hayatı)","2022-11-11T15:10:42Z","UCWpk9PSGHoJW1hZT4egxTNQ","Ruhi Çenet Medya","27","22.15.11","2359796","0","3997"
"7XccnkKNzwg","İstiklal Caddesi'nde bombalı saldırı | Görgü tanıkları anlatıyor","2022-11-14T10:21:50Z","UCNCVuaQDvPrZ4oTKG90iqOA","Medyascope","25","22.15.11","152388","0","111"
"k-jH9aijNLE","Norm Ender - Bu Düş Çok Güzel","2022-11-10T19:25:32Z","UCiAr3BkNuPdjP-sT1W-uK-w","Norm Ender","10","22.15.11","2135675","0","6524"
"VHBiginKECk","VakıfBank 🆚 Fenerbahçe Opet (Maçın Tamamı) | 2022-2023 Sultanlar Ligi","2022-11-14T07:28:33Z","UCebdo7-2NdjcktKzco64iNw","TRT SPOR Yıldız","17","22.15.11","175337","0","385"
